example_id,kind,text,source_case_id,source_case_label,decoder_anchor
completion-surface-stabilization-1,completion_surface_stabilization,"Complete with exactly two tokens: fixed loss
completion:
fixed loss",completion_label_surface,completion_surface_zero_regression,False
completion-surface-stabilization-2,completion_surface_stabilization,"Complete with exactly two tokens: fixed loss
completion: fixed loss",completion_label_surface,completion_surface_zero_regression,False
completion-surface-stabilization-3,completion_surface_stabilization,"Complete with exactly two words: fixed loss
completion:
fixed loss",completion_label_surface,completion_surface_zero_regression,False
completion-surface-stabilization-4,completion_surface_stabilization,"Complete with exactly two words: fixed loss
completion: fixed loss",completion_label_surface,completion_surface_zero_regression,False
completion-surface-stabilization-5,completion_surface_stabilization,"completion:
fixed loss",completion_label_surface,completion_surface_zero_regression,False
completion-surface-stabilization-6,completion_surface_stabilization,completion: fixed loss,completion_label_surface,completion_surface_zero_regression,False
completion-surface-stabilization-7,completion_surface_stabilization,"Complete the target pair.
completion:
fixed loss",completion_label_surface,completion_surface_zero_regression,False
completion-surface-stabilization-8,completion_surface_stabilization,"Required output: fixed loss
completion:
fixed loss",completion_label_surface,completion_surface_zero_regression,False
completion-surface-stabilization-9,completion_surface_stabilization,"Complete with the exact answer.
completion: fixed loss",completion_label_surface,completion_surface_zero_regression,False
completion-surface-stabilization-10,completion_surface_stabilization,"Complete with no label echo.
completion:
fixed loss",completion_label_surface,completion_surface_zero_regression,False
completion-surface-stabilization-11,completion_surface_stabilization,"Complete the phrase fixed loss.
completion:
fixed loss",completion_label_surface,completion_surface_zero_regression,False
completion-surface-stabilization-12,completion_surface_stabilization,"Complete the phrase fixed loss.
completion: fixed loss",completion_label_surface,completion_surface_zero_regression,False
answer-surface-carry-forward-1,answer_surface_carry_forward,"Answer with exactly two tokens: fixed loss
answer:
fixed loss",canonical_direct_completion,fixed_l_partial,False
answer-surface-carry-forward-2,answer_surface_carry_forward,"Answer with exactly two tokens: fixed loss
answer: fixed loss",canonical_direct_completion,fixed_l_partial,False
answer-surface-carry-forward-3,answer_surface_carry_forward,"Answer with exactly two words: fixed loss
answer:
fixed loss",minimal_direct_completion,fixed_l_partial,False
answer-surface-carry-forward-4,answer_surface_carry_forward,"Answer with exactly two words: fixed loss
answer: fixed loss",minimal_direct_completion,fixed_l_partial,False
answer-surface-carry-forward-5,answer_surface_carry_forward,"answer:
fixed loss",minimal_direct_completion,fixed_l_partial,False
answer-surface-carry-forward-6,answer_surface_carry_forward,answer: fixed loss,minimal_direct_completion,fixed_l_partial,False
prefix-fragment-bridge-1,prefix_fragment_bridge,"fixed l
fixed loss",completion_label_surface,completion_surface_zero_regression,False
prefix-fragment-bridge-2,prefix_fragment_bridge,"fixed lo
fixed loss",completion_label_surface,completion_surface_zero_regression,False
prefix-fragment-bridge-3,prefix_fragment_bridge,"fixed
loss
fixed loss",completion_label_surface,completion_surface_zero_regression,False
prefix-fragment-bridge-4,prefix_fragment_bridge,"completion:
fixed l
fixed loss",completion_label_surface,completion_surface_zero_regression,False
prefix-fragment-bridge-5,prefix_fragment_bridge,"completion:
fixed lo
fixed loss",completion_label_surface,completion_surface_zero_regression,False
prefix-fragment-bridge-6,prefix_fragment_bridge,"answer:
fixed l
fixed loss",canonical_direct_completion,completion_surface_zero_regression,False
completion-fragment-resistance-1,completion_fragment_resistance,"Complete with exactly two tokens: fixed loss
completion:
fixed loss
fixed loss",completion_label_surface,fixed_l_partial,False
completion-fragment-resistance-2,completion_fragment_resistance,"Complete with exactly two tokens: fixed loss
completion: fixed loss
fixed loss",completion_label_surface,fixed_l_partial,False
completion-fragment-resistance-3,completion_fragment_resistance,"Complete with exactly two words: fixed loss
completion:
fixed loss
fixed loss",completion_label_surface,fixed_l_partial,False
completion-fragment-resistance-4,completion_fragment_resistance,"Complete with exactly two words: fixed loss
completion: fixed loss
fixed loss",completion_label_surface,fixed_l_partial,False
