example_id,case_id,revision_type,prompt,completion,guardrail,rebalance_action,rebalance_reason
decoder-anchor-carry-prompt-aligned-carry-revision-carry-repair-objective-answer-check-direct_case_answer,objective-answer-check,carry_forward_prompt_aligned_seed,自检：本题需要同时出现 fixed 与 loss。最终答案：,fixed loss,retain_prompt_aligned_seed_signal,keep,carry_forward_cap
decoder-anchor-carry-prompt-aligned-carry-revision-carry-repair-objective-answer-check-self_check_answer,objective-answer-check,carry_forward_prompt_aligned_seed,"自检：本题需要同时出现 fixed 与 loss。最终答案：
Self-check: include both required terms exactly once.",fixed loss,retain_prompt_aligned_seed_signal,keep,carry_forward_cap
decoder-anchor-objective-answer-check-unanchored_direct_answer,objective-answer-check,unanchored_direct_answer,自检：本题需要同时出现 fixed 与 loss。最终答案：,fixed loss,unanchored_exact_answer,keep,direct_answer_preserve
decoder-anchor-objective-answer-check-prefix_f_bridge,objective-answer-check,prefix_f_bridge,自检：本题需要同时出现 fixed 与 loss。最终答案：f,ixed loss,first_character_bridge,keep,decoder_bridge_preserve
decoder-anchor-objective-answer-check-prefix_fixed_space_bridge,objective-answer-check,prefix_fixed_space_bridge,自检：本题需要同时出现 fixed 与 loss。最终答案：fixed ,loss,first_term_to_second_term_bridge,keep,decoder_bridge_preserve
decoder-anchor-objective-answer-check-prefix_fixed_l_bridge,objective-answer-check,prefix_fixed_l_bridge,自检：本题需要同时出现 fixed 与 loss。最终答案：fixed l,oss,second_term_prefix_bridge,keep,decoder_bridge_preserve
decoder-anchor-rebalanced-objective-answer-check-direct-weight-1,objective-answer-check,rebalanced_unanchored_direct_answer,自检：本题需要同时出现 fixed 与 loss。最终答案：,fixed loss,increase_direct_answer_weight_without_promotion_claim,add,direct_answer_underweighted
decoder-anchor-rebalanced-objective-answer-check-direct-weight-2,objective-answer-check,rebalanced_unanchored_direct_answer,自检：本题需要同时出现 fixed 与 loss。最终答案：,fixed loss,increase_direct_answer_weight_without_promotion_claim,add,direct_answer_underweighted
decoder-anchor-carry-prompt-aligned-carry-revision-objective-answer-contrast-baseline_preservation,objective-answer-contrast,carry_forward_prompt_aligned_seed,"Baseline preservation for objective-answer-contrast: output the two route terms exactly.
Answer:",fixed loss,retain_prompt_aligned_seed_signal,keep,carry_forward_cap
decoder-anchor-carry-prompt-aligned-carry-revision-objective-answer-contrast-missing_term_retention,objective-answer-contrast,carry_forward_prompt_aligned_seed,"Repair objective-answer-contrast: include missing terms fixed, loss and answer directly.
Answer:",fixed loss,retain_prompt_aligned_seed_signal,keep,carry_forward_cap
