seed,token_cap,case,task_type,stall_reason,term,covered_in_corpus,covered_in_suite,corpus_occurrences,suite_occurrences,suite_prompt_occurrences,suite_expected_occurrences,source_diagnostic,token_cap_root
1337,12,classification-risk-level,classification,case_passed,classify,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,classification-risk-level,classification,case_passed,blocked,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,classification-risk-level,classification,case_passed,because,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,classification-risk-level,classification,case_passed,missing,True,True,24,12,0,4,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,comparison-baseline,comparison,generation_unchanged,fixed,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,comparison-baseline,comparison,generation_unchanged,sampling,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,comparison-baseline,comparison,generation_unchanged,seeds,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,comparison-baseline,comparison,generation_unchanged,reduce,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,comparison-baseline,comparison,generation_unchanged,confounding,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,continuation-science,continuation,required_terms_missing,chinese,True,True,24,6,0,4,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,continuation-science,continuation,required_terms_missing,text,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
