profile_id,case_id,case_pass,zero_hit,fragment_like_generation,hit_terms,missed_terms,max_new_tokens,temperature,top_k,seed,continuation_preview
default_bounded,objective-answer-direct,False,True,True,[],"[""fixed"", ""loss""]",24,0.2,10,901,"

OO任标标两，asseeser   lsss"
default_bounded,objective-answer-role,False,True,True,[],"[""fixed"", ""loss""]",24,0.2,10,902,"aired required terms 的两个角色词。
输出： e    rsusssetssseesss e"
default_bounded,objective-answer-contrast,False,True,True,[],"[""fixed"", ""loss""]",24,0.2,10,903,两 sss_sssssssiettsssssts
default_bounded,objective-answer-jsonish,False,True,True,[],"[""fixed"", ""loss""]",24,0.2,10,904,"wer_terms，包含两个英文词。
answer_terms::ssosssssswsossw r esses"
default_bounded,objective-answer-check,False,True,True,[],"[""fixed"", ""loss""]",24,0.2,10,905,"

包时出lllssssssssos  osse"
greedy_short,objective-answer-direct,False,True,False,[],"[""fixed"", ""loss""]",24,0.05,1,901,
greedy_short,objective-answer-role,False,True,True,[],"[""fixed"", ""loss""]",24,0.05,1,902,"aired required terms 的两个角色词。
输出："
greedy_short,objective-answer-contrast,False,True,False,[],"[""fixed"", ""loss""]",24,0.05,1,903,
greedy_short,objective-answer-jsonish,False,True,True,[],"[""fixed"", ""loss""]",24,0.05,1,904,"wer_terms，包含两个英文词。
answer_terms:"
greedy_short,objective-answer-check,False,True,False,[],"[""fixed"", ""loss""]",24,0.05,1,905,
greedy_long,objective-answer-direct,False,True,False,[],"[""fixed"", ""loss""]",64,0.05,1,901,
greedy_long,objective-answer-role,False,True,True,[],"[""fixed"", ""loss""]",64,0.05,1,902,"aired required terms 的两个角色词。
输出："
greedy_long,objective-answer-contrast,False,True,False,[],"[""fixed"", ""loss""]",64,0.05,1,903,
greedy_long,objective-answer-jsonish,False,True,True,[],"[""fixed"", ""loss""]",64,0.05,1,904,"wer_terms，包含两个英文词。
answer_terms:"
greedy_long,objective-answer-check,False,True,False,[],"[""fixed"", ""loss""]",64,0.05,1,905,
longer_low_temp,objective-answer-direct,False,True,True,[],"[""fixed"", ""loss""]",64,0.2,10,901,"

OO任标标两，asseeser   lssssse  ixeemcssse  sssssesssssmoo o em oee"
longer_low_temp,objective-answer-role,False,True,True,[],"[""fixed"", ""loss""]",64,0.2,10,902,"aired required terms 的两个角色词。
输出： e    rsusssetssseesss etsssemxsssss  ssosssssssstssmsss ssoss e"
longer_low_temp,objective-answer-contrast,False,True,True,[],"[""fixed"", ""loss""]",64,0.2,10,903,两 sss_sssssssiettssssstsssssssue oo osssssssesee siosssssssswsse
longer_low_temp,objective-answer-jsonish,False,True,True,[],"[""fixed"", ""loss""]",64,0.2,10,904,"wer_terms，包含两个英文词。
answer_terms::ssosssssswsossw r esseswe  ixeesswstsssssssssss_rrrr  eeessssos"
longer_low_temp,objective-answer-check,False,True,True,[],"[""fixed"", ""loss""]",64,0.2,10,905,"

包时出lllssssssssos  ossessssmssosssswiixest edeees  ossssswssuss"
wider_rescue,objective-answer-direct,False,True,True,[],"[""fixed"", ""loss""]",80,0.6,30,901,"自出风答irrd出出现词：标果英两_ixly, ，，
轮包a,c.用c:cseh两ss两两xeh终:格两，k
 flel文oee rv个u文e:ovole。eo"
wider_rescue,objective-answer-role,False,True,True,[],"[""fixed"", ""loss""]",80,0.6,30,902,"aired required terms 的两个角色词。
输出：ne  ,包a给u词_l用to。iee终务风 w轮

请，自xslurr需请s.ocw文个l文英sfc。mke个lsfocl ovc词
_c文 ddoe答noo"
wider_rescue,objective-answer-contrast,False,True,True,[],"[""fixed"", ""loss""]",80,0.6,30,903,"两包果检格现个x答xsw用iet个ss答答个词ss文两fi果l，需_l _两ffs个个包键务标风个fi务
f需s个两最最终标出exotx务bdsnx答uo文两英"
wider_rescue,objective-answer-jsonish,False,True,True,[],"[""fixed"", ""loss""]",80,0.6,30,904,"wer_terms，包含两个英文词。
answer_terms::词答oe。包,需sclo用a给 rou_mx_we。n英.ieuxw。t词，srl答lssll文请u英两 个_a果t 务个，案个n，个个，，。词
_tmu两用"
wider_rescue,objective-answer-check,False,True,True,[],"[""fixed"", ""loss""]",80,0.6,30,905,"au风:occx答o文词s:文答rrdwoihcsur_m词_c词个l.wiix,
务检edcues_xo:af需tw文 uxim_mwwxt用需i ct,词包"
