id,category,target,expected,actual,status,detail
action:actions/checkout,action_version,actions/checkout,v6,v6,pass,Action uses the expected Node 24 native major.
action:actions/setup-python,action_version,actions/setup-python,v6,v6,pass,Action uses the expected Node 24 native major.
env:FORCE_JAVASCRIPT_ACTIONS_TO_NODE24,forbidden_env,FORCE_JAVASCRIPT_ACTIONS_TO_NODE24,absent,absent,pass,Native action versions should not rely on force-runtime environment variables.
execution:main_branch_push_scope,execution_policy,main_branch_push_scope,"branches:
      - main",present,pass,Required CI execution-economy policy is present.
execution:pip_dependency_cache,execution_policy,pip_dependency_cache,"cache: ""pip""",present,pass,Required CI execution-economy policy is present.
execution:pip_cache_manifest,execution_policy,pip_cache_manifest,cache-dependency-path: requirements.txt,present,pass,Required CI execution-economy policy is present.
execution:same_ref_concurrency_group,execution_policy,same_ref_concurrency_group,group: ci-${{ github.workflow }}-${{ github.ref }},present,pass,Required CI execution-economy policy is present.
execution:cancel_superseded_runs,execution_policy,cancel_superseded_runs,cancel-in-progress: true,present,pass,Required CI execution-economy policy is present.
execution:no_tag_push_trigger,execution_policy,push.tags,absent,absent,pass,Tag pushes stay excluded so a tested main commit is not verified twice.
command:source_encoding_gate,required_command,source_encoding_gate,scripts/check_source_encoding.py,present,pass,Required CI quality command is present.
command:project_docs_readability_gate,required_command,project_docs_readability_gate,scripts/check_project_docs_readability.py,present,pass,Required CI quality command is present.
command:ci_workflow_hygiene_gate,required_command,ci_workflow_hygiene_gate,scripts/check_ci_workflow_hygiene.py,present,pass,Required CI quality command is present.
command:static_analysis_gate,required_command,static_analysis_gate,scripts/check_static_analysis.py,present,pass,Required CI quality command is present.
command:type_analysis_gate,required_command,type_analysis_gate,scripts/check_type_analysis.py,present,pass,Required CI quality command is present.
command:model_capability_honest_measurement_gate,required_command,model_capability_honest_measurement_gate,scripts/check_model_capability_honest_measurement.py,present,pass,Required CI quality command is present.
command:artifact_schema_guard,required_command,artifact_schema_guard,scripts/check_artifact_schema_guard.py,present,pass,Required CI quality command is present.
command:file_size_ratchet,required_command,file_size_ratchet,scripts/check_file_size_ratchet.py,present,pass,Required CI quality command is present.
command:aiproj_track_closeout,required_command,aiproj_track_closeout,scripts/check_aiproj_track_closeout.py,present,pass,Required CI quality command is present.
command:archived_path_portability_check,required_command,archived_path_portability_check,scripts/check_archived_path_portability.py,present,pass,Required CI quality command is present.
command:promoted_seed_handoff_assurance_smoke,required_command,promoted_seed_handoff_assurance_smoke,scripts/check_promoted_seed_handoff_assurance_smoke.py,present,pass,Required CI quality command is present.
command:promoted_seed_receipt_contract_failure_smoke,required_command,promoted_seed_receipt_contract_failure_smoke,scripts/run_ci_promoted_seed_receipt_contract_failure_smoke.py,present,pass,Required CI quality command is present.
command:promoted_seed_receipt_contract_failure_smoke_plan_check,required_command,promoted_seed_receipt_contract_failure_smoke_plan_check,scripts/check_ci_promoted_seed_receipt_contract_failure_smoke_plan.py,present,pass,Required CI quality command is present.
command:tiny_scorecard_comparison_inline_check_smoke,required_command,tiny_scorecard_comparison_inline_check_smoke,scripts/run_ci_tiny_scorecard_comparison_smoke.py,present,pass,Required CI quality command is present.
command:tiny_scorecard_summary_check_sidecar,required_command,tiny_scorecard_summary_check_sidecar,--summary-check-out-dir,present,pass,Required CI quality command is present.
command:ci_tiny_scorecard_plan_digest_check,required_command,ci_tiny_scorecard_plan_digest_check,scripts/check_ci_tiny_scorecard_plan.py,present,pass,Required CI quality command is present.
command:baseline_candidate_threshold_boundary_gate_check,required_command,baseline_candidate_threshold_boundary_gate_check,scripts/run_ci_baseline_candidate_threshold_boundary_gate_check.py,present,pass,Required CI quality command is present.
command:baseline_candidate_threshold_boundary_gate_plan_check,required_command,baseline_candidate_threshold_boundary_gate_plan_check,scripts/check_ci_baseline_candidate_threshold_boundary_gate_plan.py,present,pass,Required CI quality command is present.
command:release_readiness_drift_contract_smoke,required_command,release_readiness_drift_contract_smoke,scripts/check_release_readiness_drift_contract_smoke.py,present,pass,Required CI quality command is present.
command:normalization_guard,required_command,normalization_guard,scripts/check_normalization_guard.py,present,pass,Required CI quality command is present.
command:test_coverage_report,required_command,test_coverage_report,scripts/run_test_coverage.py,present,pass,Required CI quality command is present.
command:coverage_fail_under_gate,required_command,coverage_fail_under_gate,--fail-under 88.98,present,pass,Required CI quality command is present.
order:project_docs_readability_after_source_encoding,required_order,project_docs_readability_after_source_encoding,before,before_line=32;after_line=35,pass,"Required CI command order is preserved: before line 32, after line 35."
order:project_docs_readability_before_ci_hygiene,required_order,project_docs_readability_before_ci_hygiene,before,before_line=35;after_line=38,pass,"Required CI command order is preserved: before line 35, after line 38."
order:project_docs_readability_before_coverage,required_order,project_docs_readability_before_coverage,before,before_line=35;after_line=89,pass,"Required CI command order is preserved: before line 35, after line 89."
order:static_analysis_after_ci_hygiene,required_order,static_analysis_after_ci_hygiene,before,before_line=38;after_line=41,pass,"Required CI command order is preserved: before line 38, after line 41."
order:static_analysis_before_coverage,required_order,static_analysis_before_coverage,before,before_line=41;after_line=89,pass,"Required CI command order is preserved: before line 41, after line 89."
order:type_analysis_after_static_analysis,required_order,type_analysis_after_static_analysis,before,before_line=41;after_line=44,pass,"Required CI command order is preserved: before line 41, after line 44."
order:type_analysis_before_coverage,required_order,type_analysis_before_coverage,before,before_line=44;after_line=89,pass,"Required CI command order is preserved: before line 44, after line 89."
order:model_capability_honest_measurement_after_type_analysis,required_order,model_capability_honest_measurement_after_type_analysis,before,before_line=44;after_line=47,pass,"Required CI command order is preserved: before line 44, after line 47."
