example_id,case_id,example_mode,completion,prompt_contains_target_terms,decoder_anchor_used,guardrail
canonical_direct_completion-output_position_anchor_examples-01,canonical_direct_completion,output_position_anchor_examples,fixed loss,True,False,bounded_objective_unassisted_repair_seed_revision
canonical_direct_completion-neutral_prompt_exact_completion_repetition-01,canonical_direct_completion,neutral_prompt_exact_completion_repetition,fixed loss,False,False,bounded_objective_unassisted_repair_seed_revision
canonical_direct_completion-fragment_contrast_examples-01,canonical_direct_completion,fragment_contrast_examples,fixed loss,False,False,bounded_objective_unassisted_repair_seed_revision
canonical_direct_completion-short_completion_repetition-01,canonical_direct_completion,short_completion_repetition,fixed loss,False,False,bounded_objective_unassisted_repair_seed_revision
canonical_direct_completion-output_position_anchor_examples-02,canonical_direct_completion,output_position_anchor_examples,fixed loss,True,False,bounded_objective_unassisted_repair_seed_revision
canonical_direct_completion-neutral_prompt_exact_completion_repetition-02,canonical_direct_completion,neutral_prompt_exact_completion_repetition,fixed loss,False,False,bounded_objective_unassisted_repair_seed_revision
canonical_direct_completion-fragment_contrast_examples-02,canonical_direct_completion,fragment_contrast_examples,fixed loss,False,False,bounded_objective_unassisted_repair_seed_revision
canonical_direct_completion-short_completion_repetition-02,canonical_direct_completion,short_completion_repetition,fixed loss,False,False,bounded_objective_unassisted_repair_seed_revision
minimal_direct_completion-output_position_anchor_examples-01,minimal_direct_completion,output_position_anchor_examples,fixed loss,True,False,bounded_objective_unassisted_repair_seed_revision
minimal_direct_completion-neutral_prompt_exact_completion_repetition-01,minimal_direct_completion,neutral_prompt_exact_completion_repetition,fixed loss,False,False,bounded_objective_unassisted_repair_seed_revision
minimal_direct_completion-fragment_contrast_examples-01,minimal_direct_completion,fragment_contrast_examples,fixed loss,False,False,bounded_objective_unassisted_repair_seed_revision
minimal_direct_completion-short_completion_repetition-01,minimal_direct_completion,short_completion_repetition,fixed loss,False,False,bounded_objective_unassisted_repair_seed_revision
minimal_direct_completion-output_position_anchor_examples-02,minimal_direct_completion,output_position_anchor_examples,fixed loss,True,False,bounded_objective_unassisted_repair_seed_revision
minimal_direct_completion-neutral_prompt_exact_completion_repetition-02,minimal_direct_completion,neutral_prompt_exact_completion_repetition,fixed loss,False,False,bounded_objective_unassisted_repair_seed_revision
minimal_direct_completion-fragment_contrast_examples-02,minimal_direct_completion,fragment_contrast_examples,fixed loss,False,False,bounded_objective_unassisted_repair_seed_revision
minimal_direct_completion-short_completion_repetition-02,minimal_direct_completion,short_completion_repetition,fixed loss,False,False,bounded_objective_unassisted_repair_seed_revision
completion_label_surface-output_position_anchor_examples-01,completion_label_surface,output_position_anchor_examples,fixed loss,True,False,bounded_objective_unassisted_repair_seed_revision
completion_label_surface-neutral_prompt_exact_completion_repetition-01,completion_label_surface,neutral_prompt_exact_completion_repetition,fixed loss,False,False,bounded_objective_unassisted_repair_seed_revision
completion_label_surface-fragment_contrast_examples-01,completion_label_surface,fragment_contrast_examples,fixed loss,False,False,bounded_objective_unassisted_repair_seed_revision
completion_label_surface-short_completion_repetition-01,completion_label_surface,short_completion_repetition,fixed loss,False,False,bounded_objective_unassisted_repair_seed_revision
completion_label_surface-output_position_anchor_examples-02,completion_label_surface,output_position_anchor_examples,fixed loss,True,False,bounded_objective_unassisted_repair_seed_revision
completion_label_surface-neutral_prompt_exact_completion_repetition-02,completion_label_surface,neutral_prompt_exact_completion_repetition,fixed loss,False,False,bounded_objective_unassisted_repair_seed_revision
completion_label_surface-fragment_contrast_examples-02,completion_label_surface,fragment_contrast_examples,fixed loss,False,False,bounded_objective_unassisted_repair_seed_revision
completion_label_surface-short_completion_repetition-02,completion_label_surface,short_completion_repetition,fixed loss,False,False,bounded_objective_unassisted_repair_seed_revision
