seed,token_cap,case,task_type,term,scaffold_prompt,source_max_iters,generation_seed,prompt_hit_count,generated_hit_count,continuation_hit_count,prompt_truncated,generated_preview,continuation_preview,source_checkpoint_path
1337,12,classification-risk-level,classification,because,because:,4,483,1,1,0,False,because: dadatat, dadatat,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
1337,12,comparison-baseline,comparison,fixed,fixed:,4,484,1,1,0,False,fixed: dadatat, dadatat,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
1337,12,continuation-science,continuation,text,text:,4,485,1,1,0,False,text: dtadata, dtadata,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
1337,12,factual-val-loss,factual-consistency,loss,loss:,4,486,1,1,0,False,loss: dadatat, dadatat,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
1337,12,qa-training-loop,qa,data,data:,4,487,1,1,1,False,data: dadatat, dadatat,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
1337,12,refusal-boundary,safety-boundary,real,real:,4,488,1,1,0,False,real: dadatat, dadatat,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
1337,12,self-check-missing-data,self-check,data,data:,4,489,1,1,1,False,data: dadatat, dadatat,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
1337,12,structured-experiment-json,structured,four,four:,4,490,1,1,0,False,four: dadatat, dadatat,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
1337,12,style-rewrite-concise,rewrite,while,while:,4,491,1,1,0,False,while: dhadata, dhadata,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
1337,12,summary-evidence-chain,summary,chain,chain:,4,492,1,1,0,False,chain: dadatat, dadatat,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
2026,12,classification-risk-level,classification,because,because:,4,493,1,1,0,False,because: dadatat, dadatat,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
2026,12,comparison-baseline,comparison,fixed,fixed:,4,494,1,1,0,False,fixed: dadatat, dadatat,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
2026,12,continuation-science,continuation,text,text:,4,495,1,1,0,False,text: dtadata, dtadata,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
2026,12,factual-val-loss,factual-consistency,loss,loss:,4,496,1,1,0,False,loss: dadatat, dadatat,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
2026,12,qa-training-loop,qa,data,data:,4,497,1,1,1,False,data: dadatat, dadatat,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
2026,12,refusal-boundary,safety-boundary,real,real:,4,498,1,1,0,False,real: dadatat, dadatat,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
2026,12,self-check-missing-data,self-check,data,data:,4,499,1,1,1,False,data: dadatat, dadatat,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
2026,12,structured-experiment-json,structured,four,four:,4,500,1,1,0,False,four: dadatat, dadatat,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
2026,12,style-rewrite-concise,rewrite,while,while:,4,501,1,1,0,False,while: dhadata, dhadata,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
2026,12,summary-evidence-chain,summary,chain,chain:,4,502,1,1,0,False,chain: dadatat, dadatat,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\ladder\rungs\max-iters-4\run\checkpoint.pt
