version,category,model_signal,governance_signal,maintenance_signal,status,recommendation
v1133,maintenance,,,"docs, maintenance",pass,batch with readability care and schedule model capability follow-up
v1132,maintenance,,"receipt, publication","docs, template, maintenance, script layer",pass,batch with readability care and schedule model capability follow-up
v1131,maintenance,required term,"receipt, publication","readability, docs, maintenance",pass,batch with readability care and schedule model capability follow-up
v1130,maintenance,,"receipt, index, publication","readability, maintenance",pass,batch with readability care and schedule model capability follow-up
v1129,governance,,"receipt, index, review, lookup-only, publication",,pass,keep lookup-only boundaries explicit
v1128,governance,,"receipt, index, review, lookup-only, publication",,pass,keep lookup-only boundaries explicit
v1127,governance,,"receipt, contract check, index, review, lookup-only, publication",,pass,keep lookup-only boundaries explicit
v1126,governance,,"receipt, index, review, publication",,pass,keep lookup-only boundaries explicit
v1125,governance,,"receipt, index, review, lookup-only, publication",,pass,keep lookup-only boundaries explicit
v1124,governance,,"receipt, index, review, lookup-only, publication",,pass,keep lookup-only boundaries explicit
v1123,governance,,"receipt, contract check, index, review, lookup-only, publication",,pass,keep lookup-only boundaries explicit
v1122,governance,,"receipt, index, review, publication",,pass,keep lookup-only boundaries explicit
