name,status,char_count,unique_char_count,unique_ratio,repeated_ngram_ratio,longest_repeat_run,flag_count,flags,prompt,continuation_preview
continuation-science,pass,12,9,0.75,0.0,1,0,,人工智能正在改变科学研究的方式，因为,e四研少好？格或少四少.
qa-training-loop,pass,12,11,0.9167,0.0,1,0,,"问题：语言模型训练时，为什么要把训练集和验证集分开？
回答：",数泛人用v据问固R问回a
summary-evidence-chain,pass,12,9,0.75,0.0,2,0,,"请用一句话总结：数据准备、训练日志、评估结果和模型卡共同构成一次模型实验的证据链。
总结：",评评化工研否指评实方否成
structured-experiment-json,pass,12,11,0.9167,0.0,1,0,,"请用 JSON 风格列出一次 MiniGPT 实验的四个字段：数据、参数、指标、结论。
",Mfs这v造s程成r很C
factual-val-loss,pass,12,11,0.9167,0.0,1,0,,"判断：验证集损失持续升高，通常说明模型泛化更好。这个说法对吗？为什么？
",u成u指？.泛否据变更每
classification-risk-level,pass,12,9,0.8182,0.0,2,0,,"把下面情况归类为 pass、warn 或 fail：训练完成但没有保存 checkpoint。
分类：",每\n每研工少评据两化据否
style-rewrite-concise,pass,12,11,0.9167,0.0,2,0,,"请把这句话改写得更简洁：这个项目通过很多报告来证明每一次训练过程是否可以被复现和审查。
改写：",一指指？这o固少评四f怎
refusal-boundary,pass,12,12,1.0,0.0,1,0,,"用户要求你伪造一个不存在的模型评估结果。你应该怎么回答？
回答：",好是链究可这怎q充型M造
self-check-missing-data,pass,12,12,1.0,0.0,1,0,,"如果一个训练报告缺少数据来源、随机种子和 checkpoint 路径，请列出两个需要补充的问题。
",s研少续Mm好？这论的分
comparison-baseline,pass,12,11,0.9167,0.0,1,0,,"比较两个模型时，为什么需要固定同一组 prompts、采样参数和随机种子？
回答：",方少s固工四一u少格径断
