example_id,kind,prompt,completion,source_case_id,decoder_anchor
canonical_direct_completion-pair-repeat-a,case_pair_repeat,"Answer with exactly two tokens: fixed loss
answer:",fixed loss,canonical_direct_completion,False
canonical_direct_completion-pair-repeat-b,case_pair_repeat,"Answer with exactly two tokens: fixed loss
answer:",fixed loss,canonical_direct_completion,False
canonical_direct_completion-loss-needs-fixed,loss_to_pair_binding,"Answer with exactly two tokens: fixed loss
answer:
loss",fixed loss,canonical_direct_completion,False
canonical_direct_completion-loss-left-context,loss_left_context_binding,loss belongs with,fixed loss,canonical_direct_completion,False
minimal_direct_completion-pair-repeat-a,case_pair_repeat,"Answer with exactly two words: fixed loss
answer:",fixed loss,minimal_direct_completion,False
minimal_direct_completion-pair-repeat-b,case_pair_repeat,"Answer with exactly two words: fixed loss
answer:",fixed loss,minimal_direct_completion,False
minimal_direct_completion-fixed-needs-loss,fixed_to_loss_binding,"Answer with exactly two words: fixed loss
answer:
fixed",loss,minimal_direct_completion,False
minimal_direct_completion-fixed-restores-pair,fixed_to_pair_binding,"Answer with exactly two words: fixed loss
answer:
fixed",fixed loss,minimal_direct_completion,False
completion_label_surface-pair-repeat-a,case_pair_repeat,"Complete with exactly two tokens: fixed loss
completion:",fixed loss,completion_label_surface,False
completion_label_surface-pair-repeat-b,case_pair_repeat,"Complete with exactly two tokens: fixed loss
completion:",fixed loss,completion_label_surface,False
completion_label_surface-surface-repair-a,completion_surface_pair_repair,"Complete with exactly two tokens: fixed loss
completion:",fixed loss,completion_label_surface,False
completion_label_surface-surface-repair-b,completion_surface_pair_repair,completion:,fixed loss,completion_label_surface,False
global-fixed-to-loss-a,global_pair_binding,fixed,loss,global,False
global-fixed-to-loss-b,global_pair_binding,fixed,loss,global,False
global-target-pair-a,global_pair_repeat,target:,fixed loss,global,False
global-target-pair-b,global_pair_repeat,target:,fixed loss,global,False
global-answer-pair,global_pair_repeat,answer:,fixed loss,global,False
global-completion-pair,global_pair_repeat,completion:,fixed loss,global,False
