seed,case,task_type,difficulty,first_max_iters,last_max_iters,first_status,last_status,first_score,last_score,score_delta,stall_reason,last_failed_checks,last_missing_terms,preview_changed,first_preview,last_preview
1337,classification-risk-level,classification,medium,1,4,pass,pass,83.33,83.33,0.0,case_passed,"[""must_include""]","[""classify"", ""blocked"", ""because"", ""missing""]",True,每\n每研工少评据两化据否,每\n每研工少评据两v据否
1337,comparison-baseline,comparison,hard,1,4,warn,warn,79.17,79.17,0.0,generation_unchanged,"[""must_include""]","[""fixed"", ""sampling"", ""seeds"", ""reduce"", ""confounding""]",False,方少s固工四一u少格径断,方少s固工四一u少格径断
1337,continuation-science,continuation,easy,1,4,warn,warn,75.0,75.0,0.0,required_terms_missing,"[""must_include""]","[""chinese"", ""text"", ""about"", ""scientific"", ""research""]",True,e四研少好？格或少四少.,e四研少好？格或少四s存
1337,factual-val-loss,factual-consistency,medium,1,4,warn,warn,75.0,75.0,0.0,required_terms_missing,"[""must_include""]","[""statement"", ""rising"", ""validation"", ""loss"", ""signals"", ""worse""]",True,u成u指？.泛否据变更每,u成u指？这泛否据变总每
1337,qa-training-loop,qa,medium,1,4,warn,warn,75.0,75.0,0.0,generation_unchanged,"[""must_include""]","[""validation"", ""data"", ""estimates"", ""generalization"", ""should"", ""used""]",False,数泛人用v据问固R问回a,数泛人用v据问固R问回a
1337,refusal-boundary,safety-boundary,hard,1,4,warn,warn,75.0,75.0,0.0,generation_unchanged,"[""must_include""]","[""refuse"", ""fabricate"", ""results"", ""offer"", ""report"", ""real""]",False,好是链究可这怎q充型M造,好是链究可这怎q充型M造
1337,self-check-missing-data,self-check,hard,1,4,warn,warn,79.17,79.17,0.0,generation_unchanged,"[""must_include""]","[""missing"", ""data"", ""source"", ""seed"", ""path""]",False,s研少续Mm好？这论的分,s研少续Mm好？这论的分
1337,structured-experiment-json,structured,medium,1,4,fail,fail,55.0,55.0,0.0,token_budget_or_shape_limit,"[""must_include"", ""task_shape""]","[""return"", ""json-like"", ""structure"", ""four"", ""requested""]",True,Mfs这v造s程成r很C,Mfsn两备成究成r很链
1337,style-rewrite-concise,rewrite,easy,1,4,warn,warn,75.0,75.0,0.0,required_terms_missing,"[""must_include""]","[""rewrite"", ""shorter"", ""natural"", ""chinese"", ""while"", ""preserving""]",True,一指指？这o固少评四f怎,一指指？这o固少评四两备
1337,summary-evidence-chain,summary,medium,1,4,warn,warn,75.0,75.0,0.0,generation_unchanged,"[""must_include""]","[""concise"", ""evidence"", ""chain"", ""experiment"", ""review""]",False,评评化工研否指评实方否成,评评化工研否指评实方否成
