seed,token_cap,case,task_type,term,max_iters,continuation_hit,generated_hit,prompt_hit,expected_hit,continuation_occurrences,generated_occurrences,prompt_occurrences,expected_occurrences,continuation_preview,eval_suite_path
1337,12,classification-risk-level,classification,classify,1,False,False,False,True,0,0,0,1,每\n每研工少评据两化据否,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-1\run\eval_suite\eval_suite.json
1337,12,classification-risk-level,classification,classify,4,False,False,False,True,0,0,0,1,每\n每研工少评据两v据否,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\eval_suite\eval_suite.json
1337,12,classification-risk-level,classification,blocked,1,False,False,False,True,0,0,0,1,每\n每研工少评据两化据否,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-1\run\eval_suite\eval_suite.json
1337,12,classification-risk-level,classification,blocked,4,False,False,False,True,0,0,0,1,每\n每研工少评据两v据否,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\eval_suite\eval_suite.json
1337,12,classification-risk-level,classification,because,1,False,False,False,True,0,0,0,1,每\n每研工少评据两化据否,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-1\run\eval_suite\eval_suite.json
1337,12,classification-risk-level,classification,because,4,False,False,False,True,0,0,0,1,每\n每研工少评据两v据否,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\eval_suite\eval_suite.json
1337,12,classification-risk-level,classification,missing,1,False,False,False,True,0,0,0,1,每\n每研工少评据两化据否,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-1\run\eval_suite\eval_suite.json
1337,12,classification-risk-level,classification,missing,4,False,False,False,True,0,0,0,1,每\n每研工少评据两v据否,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\eval_suite\eval_suite.json
1337,12,comparison-baseline,comparison,fixed,1,False,False,False,True,0,0,0,1,方少s固工四一u少格径断,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-1\run\eval_suite\eval_suite.json
1337,12,comparison-baseline,comparison,fixed,4,False,False,False,True,0,0,0,1,方少s固工四一u少格径断,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\ladder\rungs\max-iters-4\run\eval_suite\eval_suite.json
